time, lat, lon, speed, angle, alt, satellites, pm_raw, pm_filt, voc
2015-8-11 13:21:45, 33.9672, -83.4038, 4.34, 41.13, 0.00, 0, 0.0000, 0.9000, 791.79
2015-8-11 13:21:48, 33.9671, -83.4038, 1.45, 41.10, 0.00, 0, 0.0000, 0.8100, 840.66
2015-8-11 13:21:51, 33.9671, -83.4038, 0.57, 15.14, 0.00, 0, 0.0000, 0.7290, 860.22
2015-8-11 13:21:54, 33.9671, -83.4038, 0.40, 23.18, 0.00, 0, 1.1898, 0.7751, 874.88
2015-8-11 13:21:57, 33.9671, -83.4038, 0.37, 30.80, 0.00, 0, 0.8096, 0.7785, 879.77
2015-8-11 13:22:0, 33.9671, -83.4038, 0.24, 166.93, 0.00, 0, 0.4824, 0.7489, 879.77
2015-8-11 13:22:2, 33.9671, -83.4038, 0.59, 203.93, 0.00, 0, 0.0000, 0.6740, 879.77
2015-8-11 13:22:5, 33.9671, -83.4038, 0.42, 269.08, 0.00, 0, 0.0000, 0.6066, 874.88
2015-8-11 13:22:8, 33.9671, -83.4037, 0.29, 276.41, 0.00, 0, 0.2978, 0.5757, 874.88
2015-8-11 13:22:11, 33.9671, -83.4037, 0.27, 294.29, 0.00, 0, 0.0525, 0.5234, 869.99
2015-8-11 13:22:14, 33.9671, -83.4037, 0.39, 304.46, 0.00, 0, 0.0000, 0.4711, 865.10
2015-8-11 13:22:16, 33.9671, -83.4037, 0.21, 341.32, 0.00, 0, 0.0000, 0.4240, 865.10
2015-8-11 13:22:19, 33.9671, -83.4037, 0.05, 334.25, 0.00, 0, 0.0000, 0.3816, 860.22
2015-8-11 13:22:22, 33.9671, -83.4037, 0.11, 197.62, 0.00, 0, 0.0000, 0.3434, 855.33
2015-8-11 13:22:25, 33.9671, -83.4037, 0.22, 144.17, 0.00, 0, 0.0000, 0.3091, 855.33
2015-8-11 13:22:28, 33.9671, -83.4037, 0.17, 241.07, 0.00, 0, 0.0000, 0.2782, 855.33
2015-8-11 13:22:31, 33.9671, -83.4037, 0.44, 209.64, 0.00, 0, 0.2891, 0.2793, 855.33
2015-8-11 13:22:34, 33.9671, -83.4037, 0.35, 142.01, 0.00, 0, 0.0000, 0.2513, 845.55
2015-8-11 13:22:36, 33.9671, -83.4037, 0.18, 122.83, 0.00, 0, 0.0000, 0.2262, 835.78
2015-8-11 13:22:39, 33.9671, -83.4037, 0.20, 126.74, 0.00, 0, 0.0035, 0.2039, 826.00
2015-8-11 13:22:42, 33.9671, -83.4037, 0.10, 352.55, 0.00, 0, 0.0000, 0.1835, 816.23
2015-8-11 13:22:45, 33.9671, -83.4037, 0.09, 33.86, 0.00, 0, 0.0000, 0.1652, 806.45
2015-8-11 13:22:48, 33.9671, -83.4037, 0.10, 325.80, 0.00, 0, 0.0000, 0.1487, 801.56
2015-8-11 13:22:51, 33.9671, -83.4037, 0.02, 3.43, 0.00, 0, 0.0000, 0.1338, 791.79
2015-8-11 13:22:54, 33.9671, -83.4037, 0.16, 346.02, 0.00, 0, 0.0000, 0.1204, 786.90
2015-8-11 13:22:57, 33.9671, -83.4037, 0.38, 285.34, 0.00, 0, 0.0000, 0.1084, 782.01
2015-8-11 13:23:0, 33.9671, -83.4037, 0.36, 251.37, 0.00, 0, 0.0000, 0.0975, 772.24
2015-8-11 13:23:3, 33.9671, -83.4037, 0.40, 208.52, 0.00, 0, 0.0259, 0.0904, 767.35
2015-8-11 13:23:5, 33.9671, -83.4037, 0.48, 225.33, 0.00, 0, 1.0585, 0.1872, 757.58
2015-8-11 13:23:8, 33.9671, -83.4037, 0.94, 243.44, 0.00, 0, 0.0000, 0.1685, 752.69
2015-8-11 13:23:11, 33.9670, -83.4037, 1.51, 198.80, 0.00, 0, 0.6287, 0.2145, 752.69
2015-8-11 13:23:14, 33.9670, -83.4037, 2.36, 182.32, 0.00, 0, 0.8337, 0.2764, 738.03
2015-8-11 13:23:17, 33.9670, -83.4038, 5.85, 198.03, 240.60, 9, 0.2409, 0.2729, 733.14
2015-8-11 13:23:20, 33.9669, -83.4037, 5.18, 157.42, 240.60, 9, 0.0000, 0.2456, 733.14
2015-8-11 13:23:22, 33.9668, -83.4037, 5.69, 141.15, 240.60, 9, 0.0371, 0.2247, 728.25
2015-8-11 13:23:24, 33.9668, -83.4037, 5.71, 131.37, 240.60, 9, 0.3182, 0.2341, 723.36
2015-8-11 13:23:28, 33.9667, -83.4036, 5.90, 128.40, 242.00, 9, 0.5575, 0.2664, 713.59
2015-8-11 13:23:30, 33.9667, -83.4035, 5.25, 130.97, 242.00, 9, 0.0170, 0.2415, 708.70
2015-8-11 13:23:33, 33.9666, -83.4034, 6.01, 129.09, 242.60, 9, 0.2033, 0.2377, 708.70
2015-8-11 13:23:36, 33.9666, -83.4033, 7.86, 132.76, 242.60, 9, 0.1372, 0.2276, 708.70
2015-8-11 13:23:39, 33.9665, -83.4032, 7.63, 125.40, 242.60, 9, 0.1493, 0.2198, 708.70
2015-8-11 13:23:42, 33.9665, -83.4031, 7.80, 127.74, 242.60, 9, 0.0703, 0.2048, 703.81
2015-8-11 13:23:45, 33.9664, -83.4030, 7.65, 132.97, 242.60, 9, 0.3567, 0.2200, 703.81
2015-8-11 13:23:48, 33.9663, -83.4029, 6.38, 135.31, 242.60, 9, 0.0889, 0.2069, 698.92
2015-8-11 13:23:51, 33.9663, -83.4029, 7.18, 134.01, 248.60, 8, 0.0016, 0.1864, 694.04
2015-8-11 13:23:53, 33.9662, -83.4028, 7.55, 133.97, 248.60, 8, 0.5962, 0.2274, 694.04
2015-8-11 13:23:57, 33.9661, -83.4027, 7.10, 132.80, 248.60, 8, 0.4947, 0.2541, 689.15
2015-8-11 13:23:59, 33.9661, -83.4026, 6.30, 134.36, 248.60, 8, 0.2272, 0.2514, 689.15
2015-8-11 13:24:3, 33.9660, -83.4025, 7.21, 129.05, 248.60, 8, 0.1370, 0.2400, 684.26
2015-8-11 13:24:6, 33.9659, -83.4024, 6.06, 136.34, 248.60, 8, 0.0000, 0.2160, 679.37
2015-8-11 13:24:9, 33.9659, -83.4023, 1.51, 138.22, 248.60, 8, 0.1981, 0.2142, 674.49
2015-8-11 13:24:12, 33.9659, -83.4023, 0.22, 344.61, 248.60, 8, 0.0000, 0.1928, 669.60
2015-8-11 13:24:15, 33.9659, -83.4023, 0.05, 342.64, 248.60, 8, 0.0000, 0.1735, 669.60
2015-8-11 13:24:18, 33.9659, -83.4023, 2.11, 156.63, 248.60, 8, 0.0000, 0.1561, 659.82
2015-8-11 13:24:20, 33.9658, -83.4023, 4.74, 192.95, 247.90, 9, 0.2535, 0.1659, 654.94
2015-8-11 13:24:24, 33.9657, -83.4024, 8.09, 218.66, 247.90, 9, 0.2223, 0.1715, 654.94
2015-8-11 13:24:27, 33.9656, -83.4025, 8.62, 219.92, 247.90, 9, 0.3264, 0.1870, 650.05
2015-8-11 13:24:30, 33.9655, -83.4026, 10.47, 220.87, 247.50, 9, 0.1536, 0.1837, 645.16
2015-8-11 13:24:32, 33.9654, -83.4027, 9.99, 220.83, 247.50, 9, 0.0364, 0.1689, 645.16
2015-8-11 13:24:35, 33.9653, -83.4028, 7.85, 215.07, 247.50, 9, 0.2324, 0.1753, 630.50
2015-8-11 13:24:38, 33.9652, -83.4029, 8.54, 220.90, 247.50, 9, 0.2706, 0.1848, 625.61
2015-8-11 13:24:40, 33.9652, -83.4029, 11.89, 223.36, 247.50, 9, 0.0802, 0.1744, 625.61
2015-8-11 13:24:43, 33.9651, -83.4030, 6.90, 226.50, 247.50, 9, 0.3017, 0.1871, 635.39
2015-8-11 13:24:46, 33.9650, -83.4031, 0.15, 229.36, 247.50, 9, 0.1129, 0.1797, 635.39
2015-8-11 13:24:49, 33.9650, -83.4031, 0.12, 229.36, 244.70, 9, 0.0668, 0.1684, 635.39
2015-8-11 13:24:52, 33.9650, -83.4031, 0.17, 229.36, 244.70, 9, 0.0729, 0.1588, 630.50
2015-8-11 13:24:54, 33.9650, -83.4031, 0.08, 229.36, 244.70, 9, 0.0000, 0.1430, 630.50
2015-8-11 13:24:57, 33.9650, -83.4031, 0.09, 337.69, 244.70, 9, 0.0000, 0.1287, 630.50
2015-8-11 13:25:0, 33.9650, -83.4031, 0.11, 337.69, 244.70, 9, 0.0000, 0.1158, 625.61
2015-8-11 13:25:3, 33.9650, -83.4031, 0.13, 337.69, 244.70, 9, 0.0000, 0.1042, 625.61
2015-8-11 13:25:6, 33.9650, -83.4031, 0.01, 337.69, 244.70, 9, 0.0000, 0.0938, 625.61
2015-8-11 13:25:9, 33.9650, -83.4031, 0.02, 337.69, 244.70, 9, 0.0000, 0.0844, 620.72
2015-8-11 13:25:12, 33.9650, -83.4031, 0.04, 337.69, 244.70, 9, 0.0000, 0.0760, 615.84
2015-8-11 13:25:15, 33.9650, -83.4031, 0.03, 337.69, 244.70, 9, 0.0000, 0.0684, 615.84
2015-8-11 13:25:18, 33.9650, -83.4031, 0.04, 337.69, 244.70, 9, 0.0000, 0.0615, 610.95
2015-8-11 13:25:21, 33.9650, -83.4031, 0.02, 337.69, 244.70, 9, 0.0000, 0.0554, 610.95
2015-8-11 13:25:24, 33.9650, -83.4031, 0.00, 337.69, 244.70, 9, 0.0000, 0.0498, 606.06
2015-8-11 13:25:27, 33.9650, -83.4031, 0.00, 337.69, 244.70, 9, 0.0000, 0.0449, 601.17
2015-8-11 13:25:29, 33.9650, -83.4031, 0.07, 337.69, 244.70, 9, 0.0910, 0.0495, 596.29
2015-8-11 13:25:32, 33.9650, -83.4031, 1.59, 189.06, 244.10, 9, 0.0809, 0.0526, 586.51
2015-8-11 13:25:34, 33.9649, -83.4031, 9.31, 184.98, 244.10, 9, 0.4113, 0.0885, 581.62
