time, lat, lon, speed, angle, alt, satellites, pm_raw, pm_filt, voc
2015-8-6 13:3:25, 0.0000, 0.9000, 498.53
2015-8-6 13:3:28, 33.9672, -83.4036, 4.74, 22.69, 0.00, 0, 9.6952, 1.7795, 562.07
2015-8-6 13:3:30, 33.9672, -83.4036, 4.55, 23.48, 0.00, 0, 1.3613, 1.7377, 591.40
2015-8-6 13:3:33, 33.9672, -83.4036, 2.49, 26.32, 0.00, 0, 1.8764, 1.7516, 601.17
2015-8-6 13:3:37, 33.9671, -83.4036, 1.06, 13.36, 0.00, 0, 0.5274, 1.6292, 586.51
2015-8-6 13:3:40, 33.9671, -83.4036, 0.78, 10.77, 0.00, 0, 0.9794, 1.5642, 571.85
2015-8-6 13:3:43, 33.9671, -83.4036, 0.63, 5.85, 243.90, 7, 0.3219, 1.4399, 557.18
2015-8-6 13:3:45, 33.9671, -83.4036, 0.34, 24.52, 243.90, 7, 0.0000, 1.2960, 542.52
2015-8-6 13:3:48, 33.9671, -83.4036, 0.12, 78.47, 243.40, 7, 0.2156, 1.1879, 532.75
2015-8-6 13:3:51, 33.9671, -83.4036, 0.43, 117.24, 243.40, 7, 0.3738, 1.1065, 518.08
2015-8-6 13:3:55, 33.9671, -83.4036, 0.19, 253.68, 243.40, 7, 0.2682, 1.0227, 508.31
2015-8-6 13:3:57, 33.9671, -83.4036, 0.26, 240.02, 243.40, 7, 0.0156, 0.9220, 498.53
2015-8-6 13:4:0, 33.9671, -83.4037, 0.35, 248.78, 242.20, 7, 0.0560, 0.8354, 493.65
2015-8-6 13:4:3, 33.9671, -83.4037, 0.19, 187.03, 242.20, 7, 0.1960, 0.7714, 483.87
2015-8-6 13:4:5, 33.9671, -83.4037, 0.27, 235.10, 242.20, 7, 0.2299, 0.7173, 478.98
2015-8-6 13:4:8, 33.9671, -83.4037, 0.19, 234.92, 242.20, 7, 0.2084, 0.6664, 474.10
2015-8-6 13:4:11, 33.9671, -83.4037, 0.14, 178.56, 242.20, 7, 0.2711, 0.6269, 464.32
2015-8-6 13:4:14, 33.9671, -83.4037, 0.36, 254.15, 242.20, 7, 0.0000, 0.5642, 459.43
2015-8-6 13:4:17, 33.9671, -83.4037, 0.24, 205.79, 242.20, 7, 0.2376, 0.5315, 454.55
