time	X	lat	lon	speed	angle	alt	satellites	pm_raw	pm_filt	voc
2015-08-05	21:17:06	33.9601	-83.3818	16.86	279.36	248.4	10	0.0095	0.0268	117.3
2015-08-05	21:17:08	33.9602	-83.3821	15.62	279.42	248.4	10	0	0.0242	122.19
2015-08-05	21:17:12	33.9602	-83.3825	15.86	280.37	248.4	10	0.0144	0.0232	127.08
2015-08-05	21:17:15	33.9603	-83.3827	14.28	278.44	248.4	10	0	0.0209	122.19
2015-08-05	21:17:18	33.9603	-83.3829	11.86	277.29	248.4	10	0.0164	0.0204	127.08
2015-08-05	21:17:20	33.9603	-83.383	6.76	268.01	248.1	10	0	0.0184	131.96
2015-08-05	21:17:24	33.9603	-83.3831	7.52	275.72	248.1	10	0.0254	0.0191	127.08
2015-08-05	21:17:26	33.9603	-83.3832	11.01	281.3	248.1	10	0.0792	0.0251	127.08
2015-08-05	21:17:28	33.9604	-83.3834	12.45	279.88	248.1	10	0.0626	0.0288	117.3
2015-08-05	21:17:32	33.9604	-83.3837	14.72	280.23	248.1	10	0.0563	0.0316	117.3
2015-08-05	21:17:35	33.9605	-83.3839	14.28	281.31	251.1	10	0.0019	0.0286	127.08
2015-08-05	21:17:38	33.9606	-83.3841	11.72	298.17	248.4	10	0.0092	0.0267	122.19
2015-08-05	21:17:40	33.9607	-83.3842	9.32	312.99	250.2	10	0.0482	0.0288	127.08
2015-08-05	21:17:43	33.9608	-83.3842	16.4	358.56	251.5	10	0.0219	0.0281	127.08
2015-08-05	21:17:46	33.9611	-83.3842	19.28	353.74	253	10	0.0575	0.0311	127.08
2015-08-05	21:17:48	33.9614	-83.3843	20.37	353.25	253	10	0.0421	0.0322	127.08
2015-08-05	21:17:51	33.9616	-83.3843	19.76	351.47	255.9	9	0.046	0.0336	117.3
2015-08-05	21:17:52	33.9618	-83.3843	19.64	350.3	255.9	9	0.0368	0.0339	122.19
2015-08-05	21:17:56	33.9621	-83.3844	19.48	349.58	255.9	9	0.0259	0.0331	127.08
2015-08-05	21:18:00	33.9624	-83.3845	19.27	348.33	255.9	9	0.0154	0.0313	136.85
2015-08-05	21:18:03	33.9627	-83.3845	20.29	345.22	255.9	9	0.0065	0.0288	136.85
2015-08-05	21:18:06	33.963	-83.3846	20.42	345.89	255.9	9	0.064	0.0324	127.08
2015-08-05	21:18:08	33.9632	-83.3847	17.49	343.4	255.9	9	0.01	0.0301	131.96
2015-08-05	21:18:12	33.9634	-83.3848	16.62	344.63	255.9	9	0.0279	0.0299	127.08
2015-08-05	21:18:14	33.9636	-83.3848	15.67	340.04	255.9	9	0.0788	0.0348	127.08
2015-08-05	21:18:18	33.9639	-83.3849	17.58	345.95	255.9	9	0.0116	0.0325	131.96
2015-08-05	21:18:20	33.9641	-83.385	17.98	342.19	255.9	9	0.0133	0.0306	131.96
2015-08-05	21:18:24	33.9644	-83.3851	18.63	340.29	255.9	9	0.059	0.0334	131.96
2015-08-05	21:18:26	33.9645	-83.3852	18.94	338.91	255.9	9	0.0436	0.0344	131.96
2015-08-05	21:18:28	33.9647	-83.3853	18.28	339.08	255.9	9	0.0013	0.0311	131.96
2015-08-05	21:18:31	33.965	-83.3854	18.9	343.49	255.9	9	0.0543	0.0334	131.96
2015-08-05	21:18:34	33.9652	-83.3856	17.47	294.51	255.9	9	0.0243	0.0325	131.96
2015-08-05	21:18:36	33.9652	-83.3858	15.89	278.36	255.9	9	0.027	0.032	131.96
2015-08-05	21:18:39	33.9653	-83.386	15.94	271.69	255.9	9	0.0298	0.0317	131.96
2015-08-05	21:18:42	33.9653	-83.3863	14.91	277.77	255.9	9	0.0033	0.0289	127.08
2015-08-05	21:18:44	33.9653	-83.3865	14.34	272.39	255.9	9	0.0279	0.0288	127.08
2015-08-05	21:18:47	33.9653	-83.3867	14.42	275.92	255.9	9	0.0137	0.0273	127.08
2015-08-05	21:18:50	33.9653	-83.3869	13.33	253.93	255.9	9	0.0081	0.0254	131.96
2015-08-05	21:18:52	33.9652	-83.3871	13.13	194.03	255.9	9	0.0361	0.0264	122.19
2015-08-05	21:18:56	33.965	-83.3871	13.09	187.15	255.9	9	0	0.0238	127.08
2015-08-05	21:18:59	33.9648	-83.3871	11.32	189.55	255.9	9	0.0319	0.0246	127.08
2015-08-05	21:19:02	33.9647	-83.3871	11.78	190.59	248.1	8	0.1094	0.0331	127.08
2015-08-05	21:19:06	33.9645	-83.3872	10.77	189.11	248.6	8	0.0319	0.033	127.08
2015-08-05	21:19:08	33.9644	-83.3872	10.34	192.23	248.6	8	0.0649	0.0362	131.96
2015-08-05	21:19:12	33.9642	-83.3873	10.98	190.11	248.6	8	0.0066	0.0332	127.08
2015-08-05	21:19:15	33.9641	-83.3873	11.23	181.62	250.3	8	0.0328	0.0332	127.08
2015-08-05	21:19:16	33.9639	-83.3873	12.36	186.24	250.3	8	0.0154	0.0314	127.08
2015-08-05	21:19:20	33.9638	-83.3873	12.18	188.28	250.3	8	0.0148	0.0297	127.08
2015-08-05	21:19:23	33.9636	-83.3874	12.56	195.82	250.3	8	0.0234	0.0291	127.08
2015-08-05	21:19:26	33.9634	-83.3874	10.33	191.76	250.3	8	0	0.0262	127.08
2015-08-05	21:19:28	33.9632	-83.3875	12.35	185.27	250.3	8	0.0144	0.025	127.08
2015-08-05	21:19:32	33.9631	-83.3875	12.49	190.84	250.3	8	0	0.0225	127.08
2015-08-05	21:19:35	33.9629	-83.3875	13.05	190.92	253.7	8	0.0065	0.0209	122.19
2015-08-05	21:19:38	33.9627	-83.3876	12.57	187.88	255	8	0.0172	0.0205	122.19
2015-08-05	21:19:40	33.9626	-83.3877	11.84	263.19	255	8	0.0166	0.0201	122.19
2015-08-05	21:19:43	33.9627	-83.3879	14.45	274.29	255	8	0.0316	0.0213	122.19
2015-08-05	21:19:46	33.9627	-83.3881	14.5	276.37	255.8	8	0.0516	0.0243	117.3
2015-08-05	21:19:48	33.9627	-83.3884	14.07	287.58	255.8	8	0	0.0219	122.19
2015-08-05	21:19:51	33.9628	-83.3886	14.03	286.07	255.8	8	0	0.0197	122.19
2015-08-05	21:19:54	33.9629	-83.3888	14.68	289	255.8	8	0.0537	0.0231	122.19
2015-08-05	21:19:56	33.9629	-83.3889	13.54	288.91	255.8	8	0.0283	0.0236	122.19
2015-08-05	21:19:59	33.963	-83.3891	10.68	284.37	255.8	8	0.0392	0.0252	117.3
